Company Name,Date of filing,Time of filing,Document Type,File Format,File Size
Altaley Mining Corporation,Apr 25 2022,19:36:57 ET,Certificate of qualified person (NI 43-101) - English,PDF,183 K
Altaley Mining Corporation,Apr 25 2022,19:36:57 ET,Consent of qualified person (NI 43-101) - English,PDF,116 K
Altaley Mining Corporation,Apr 25 2022,19:36:57 ET,Technical report (NI 43-101) - English,PDF,9344 K
American Aires Inc.,Apr 25 2022,15:13:58 ET,Notice of the meeting and record date - English,PDF,101 K
American CuMo Mining Corporation,Apr 25 2022,11:24:39 ET,News release - English,PDF,45 K
American Helium Inc.,Apr 25 2022,13:16:25 ET,News release - English,PDF,191 K
AMPD Ventures Inc.,Apr 25 2022,18:18:45 ET,Interim financial statements/report - English,PDF,142 K
AMPD Ventures Inc.,Apr 25 2022,18:18:08 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,10 K
AMPD Ventures Inc.,Apr 25 2022,18:18:08 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,10 K
AMPD Ventures Inc.,Apr 25 2022,18:17:33 ET,MD&A - English,PDF,131 K
Anacortes Mining Corp.,Apr 25 2022,09:02:22 ET,Notice of the meeting and record date - English,PDF,313 K
Anacott Resources Corp.,Apr 25 2022,14:57:22 ET,Notice of the meeting and record date - English,PDF,539 K
Antibe Therapeutics Inc.,Apr 25 2022,07:05:52 ET,News release - English,PDF,78 K
Appulse Corporation,Apr 25 2022,09:57:51 ET,Form of proxy - English,PDF,132 K
Appulse Corporation,Apr 25 2022,09:57:51 ET,Management information circular - English,PDF,315 K
Appulse Corporation,Apr 25 2022,09:57:51 ET,Notice of meeting - English,PDF,68 K
Appulse Corporation,Apr 25 2022,09:57:51 ET,Other,PDF,68 K
Appulse Corporation,Apr 25 2022,09:57:51 ET,Other,PDF,56 K
Arctic Star Exploration Corp.,Apr 25 2022,16:10:29 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,143 K
Arctic Star Exploration Corp.,Apr 25 2022,16:10:29 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,142 K
Arctic Star Exploration Corp.,Apr 25 2022,16:10:01 ET,MD&A - English,PDF,425 K
Arctic Star Exploration Corp.,Apr 25 2022,16:09:03 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,572 K
Arctic Star Exploration Corp.,Apr 25 2022,16:09:03 ET,Audited annual financial statements - English,PDF,616 K
Arctic Star Exploration Corp.,Apr 25 2022,16:09:03 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,353 K
Arctic Star Exploration Corp.,Apr 25 2022,11:49:26 ET,News release - English,PDF,187 K
ArcWest Exploration Inc.,Apr 25 2022,09:02:03 ET,Notice of the meeting and record date - English,PDF,313 K
Argo Gold Inc.,Apr 25 2022,09:40:21 ET,News release - English,PDF,162 K
ARHT Media Inc.,Apr 25 2022,08:51:12 ET,News release - English,PDF,63 K
Armada Data Corporation,Apr 25 2022,16:20:28 ET,News release - English,PDF,298 K
Armada Data Corporation,Apr 25 2022,16:12:36 ET,MD&A - English,PDF,397 K
Armada Data Corporation,Apr 25 2022,16:12:14 ET,52-109FV2 - Certification of interim filings - CEO (E),PDF,109 K
Armada Data Corporation,Apr 25 2022,16:12:14 ET,52-109FV2 - Certification of interim filings - CFO (E),PDF,110 K
Armada Data Corporation,Apr 25 2022,16:11:54 ET,Interim financial statements/report - English,PDF,432 K
Arrow Exploration Corp. (formerly Front Range Resources Ltd.),Apr 25 2022,17:08:49 ET,News release - English,PDF,32 K
Asante Gold Corporation,Apr 25 2022,07:03:27 ET,News release - English,PDF,224 K
Astron Connect Inc.,Apr 25 2022,11:53:06 ET,Statement of Executive Compensation (Form 51-102F6V) - English,PDF,256 K
Atacama Copper Corporation (formerly 1246773 B.C. Ltd.),Apr 25 2022,08:08:02 ET,News release - English,PDF,318 K
Atalaya Mining plc,Apr 25 2022,07:07:41 ET,News release - English,PDF,190 K
Athena Gold Corporation (formerly Athena Silver Corporation),Apr 25 2022,16:43:00 ET,News release - English,PDF,425 K
ATI Airtest Technologies Inc.,Apr 25 2022,12:39:53 ET,News release - English,PDF,140 K
ATI Airtest Technologies Inc.,Apr 25 2022,12:04:56 ET,Early warning report,PDF,151 K
ATI Airtest Technologies Inc.,Apr 25 2022,12:04:56 ET,Press release - English,PDF,58 K
Atico Mining Corporation,Apr 25 2022,16:31:50 ET,News release - English,PDF,56 K
Aurex Energy Corp.,Apr 25 2022,12:29:04 ET,Oil and gas annual disclosure filing (Form 51-101 F1),PDF,212 K
Aurex Energy Corp.,Apr 25 2022,12:29:04 ET,Oil and gas annual disclosure filing (Form 51-101 F2),PDF,3547 K
Aurex Energy Corp.,Apr 25 2022,12:29:04 ET,Oil and gas annual disclosure filing (Form 51-101 F3),PDF,102 K
Austral Gold Limited,Apr 25 2022,22:33:16 ET,Form of proxy - English,PDF,454 K
Austral Gold Limited,Apr 25 2022,22:33:16 ET,Management information circular - English,PDF,917 K
Austral Gold Limited,Apr 25 2022,22:33:16 ET,Notice of meeting - English,PDF,552 K
Austral Gold Limited,Apr 25 2022,22:33:16 ET,Other,PDF,190 K
Austral Gold Limited,Apr 25 2022,22:07:30 ET,News release - English,PDF,41 K
Australis Capital Inc.,Apr 25 2022,07:42:51 ET,News release - English,PDF,66 K
Auxico Resources Canada Inc.,Apr 25 2022,17:36:14 ET,News release - English,PDF,38 K
Auxico Resources Canada Inc.,Apr 25 2022,17:36:14 ET,News release - French,PDF,38 K
Avenue Living Agricultural Land Trust,Apr 25 2022,16:03:57 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,4977 K
Bank of Montreal,Apr 25 2022,15:12:02 ET,Amendment to pricing supplement (specified derivative) - English,PDF,525 K
Bank of Montreal,Apr 25 2022,15:12:02 ET,Consent letter of issuer's legal counsel,PDF,102 K
Bank of Montreal,Apr 25 2022,15:12:02 ET,Marketing materials - English,PDF,433 K
Bank of Montreal,Apr 22 2022,21:11:16 ET,Consent letter of issuer's legal counsel,PDF,101 K
Bank of Montreal,Apr 22 2022,21:11:16 ET,Marketing materials - English,PDF,413 K
Bank of Montreal,Apr 22 2022,21:11:16 ET,Marketing materials - French,PDF,662 K
Bank of Montreal,Apr 22 2022,21:11:16 ET,Pricing supplement (specified derivative) - English,PDF,574 K
Bank of Montreal,Apr 22 2022,21:11:16 ET,Pricing supplement (specified derivative) - French,PDF,856 K
Bank of Montreal,Apr 22 2022,19:27:40 ET,Marketing materials - French,PDF,662 K
Bank of Montreal,Apr 22 2022,19:27:40 ET,Pricing supplement (specified derivative) - French,PDF,836 K
Bank of Montreal,Apr 22 2022,19:21:10 ET,Marketing materials - French,PDF,661 K
Bank of Montreal,Apr 22 2022,19:21:10 ET,Pricing supplement (specified derivative) - French,PDF,820 K
Bank of Montreal,Apr 22 2022,18:24:54 ET,Marketing materials - French,PDF,677 K
Bank of Montreal,Apr 22 2022,18:24:54 ET,Pricing supplement (specified derivative) - French,PDF,1029 K
Bank of Montreal,Apr 22 2022,17:41:20 ET,Marketing materials - French,PDF,662 K
Bank of Montreal,Apr 22 2022,17:41:20 ET,Pricing supplement (specified derivative) - French,PDF,846 K
Bank of Montreal,Apr 22 2022,17:33:02 ET,Marketing materials - French,PDF,661 K
Bank of Montreal,Apr 22 2022,17:33:02 ET,Pricing supplement (specified derivative) - French,PDF,821 K
Bank of Montreal,Apr 22 2022,17:25:51 ET,Marketing materials - French,PDF,555 K
Bank of Montreal,Apr 22 2022,17:25:51 ET,Pricing supplement (specified derivative) - French,PDF,604 K
Bank of Montreal,Apr 22 2022,17:18:20 ET,Marketing materials - French,PDF,619 K
Bank of Montreal,Apr 22 2022,17:18:20 ET,Pricing supplement (specified derivative) - French,PDF,884 K
Bank of Montreal,Apr 22 2022,16:50:20 ET,Marketing materials - French,PDF,584 K
Bank of Montreal,Apr 22 2022,16:50:20 ET,Pricing supplement (specified derivative) - French,PDF,828 K
Bank of Montreal,Apr 22 2022,16:26:49 ET,Marketing materials - French,PDF,615 K
Bank of Montreal,Apr 22 2022,16:26:49 ET,Pricing supplement (specified derivative) - French,PDF,860 K
Bank of Montreal,Apr 22 2022,15:30:15 ET,Marketing materials - French,PDF,678 K
Bank of Montreal,Apr 22 2022,15:30:15 ET,Pricing supplement (specified derivative) - French,PDF,843 K
"Bank of Nova Scotia, The",Apr 22 2022,17:48:13 ET,Consent letter of issuer's legal counsel,PDF,101 K
"Bank of Nova Scotia, The",Apr 22 2022,17:48:13 ET,Marketing materials - English,PDF,178 K
"Bank of Nova Scotia, The",Apr 22 2022,17:48:13 ET,Marketing materials - French,PDF,258 K
"Bank of Nova Scotia, The",Apr 22 2022,17:48:13 ET,Pricing supplement (specified derivative) - English,PDF,324 K
"Bank of Nova Scotia, The",Apr 22 2022,17:48:13 ET,Pricing supplement (specified derivative) - French,PDF,586 K
"Bank of Nova Scotia, The",Apr 22 2022,15:22:13 ET,Marketing materials - French,PDF,313 K
"Bank of Nova Scotia, The",Apr 22 2022,15:22:13 ET,Pricing supplement (specified derivative) - French,PDF,410 K
"Bank of Nova Scotia, The",Apr 22 2022,15:10:22 ET,Marketing materials - French,PDF,328 K
"Bank of Nova Scotia, The",Apr 22 2022,15:10:22 ET,Pricing supplement (specified derivative) - French,PDF,440 K
Barrick Gold Corporation,Apr 25 2022,17:13:29 ET,News release - English,PDF,138 K
Barrick North America Finance LLC,Apr 25 2022,17:13:12 ET,News release - English,PDF,138 K
"Bausch Health Companies Inc. (formerly, Valeant Pharmaceuticals International, Inc.)",Apr 25 2022,08:00:01 ET,News release - English,PDF,272 K
"Bausch Health Companies Inc. (formerly, Valeant Pharmaceuticals International, Inc.)",Apr 25 2022,07:54:14 ET,Other,PDF,36 K
Baytex Energy Corp.,Apr 25 2022,16:38:36 ET,Material contracts - Credit agreements,PDF,1890 K
The BC Bud Corporation (formerly Entheos Capital Corp.),Apr 25 2022,11:32:51 ET,Early warning report,PDF,189 K
The BC Bud Corporation (formerly Entheos Capital Corp.),Apr 25 2022,11:32:51 ET,Press release - English,PDF,108 K
BELLUS Health Inc.,Apr 25 2022,16:16:31 ET,News release - English,PDF,71 K
BELLUS Health Inc.,Apr 25 2022,16:16:31 ET,News release - French,PDF,73 K
Belo Sun Mining Corp.,Apr 25 2022,14:17:36 ET,Notice of the meeting and record date - English,PDF,537 K
Better Plant Sciences Inc.,Apr 25 2022,20:17:26 ET,Material change report - English,PDF,268 K
Better Plant Sciences Inc.,Apr 25 2022,20:17:26 ET,Material Document(s),PDF,352 K
BioVaxys Technology Corp. (formerly Lions Bay Mining Corp.),Apr 25 2022,09:21:41 ET,News release - English,PDF,63 K
Bitfarms Ltd.,Apr 25 2022,08:58:27 ET,Other material contracts - English,PDF,2824 K
Black Iron Inc.,Apr 25 2022,14:02:00 ET,Notice of the meeting and record date - English,PDF,537 K
Black Mammoth Metals Corporation,Apr 25 2022,12:35:12 ET,News release - English,PDF,188 K
"Boardwalktech Software Corp. (formerly, Wood Composite Technologies Inc.)",Apr 25 2022,15:06:08 ET,Notice of the meeting and record date (amended) - English,PDF,176 K
"Boardwalktech Software Corp. (formerly, Wood Composite Technologies Inc.)",Apr 25 2022,07:02:21 ET,News release - English,PDF,177 K
Boston Pizza Royalties Income Fund,Apr 25 2022,12:38:20 ET,Form of proxy - English,PDF,68 K
Boston Pizza Royalties Income Fund,Apr 25 2022,12:38:20 ET,Management information circular - English,PDF,824 K
Boston Pizza Royalties Income Fund,Apr 25 2022,12:38:20 ET,Notice of meeting - English,PDF,74 K
Boston Pizza Royalties Income Fund,Apr 25 2022,12:38:20 ET,Other,PDF,69 K
Boston Pizza Royalties Income Fund,Apr 25 2022,12:38:20 ET,Other,PDF,232 K
Boston Pizza Royalties Income Fund,Apr 25 2022,12:34:47 ET,Annual report - English,PDF,6714 K
Brookfield Business Partners L.P.,Apr 25 2022,19:17:34 ET,MD&A - French,PDF,543 K
Brookfield Business Partners L.P.,Apr 25 2022,19:17:16 ET,Audited annual financial statements - French,PDF,3885 K
Brookfield Business Partners L.P.,Apr 25 2022,19:17:00 ET,Annual report on Form 20-F - French,PDF,4258 K
Brookfield Business Partners L.P.,Apr 25 2022,09:13:10 ET,News release - English,PDF,15 K
Brookfield Business Partners L.P.,Apr 25 2022,08:41:46 ET,52-109F1 - Certification of annual filings - CEO (E),PDF,46 K
Brookfield Business Partners L.P.,Apr 25 2022,08:41:46 ET,52-109F1 - Certification of annual filings - CFO (E),PDF,46 K
Brookfield Business Partners L.P.,Apr 25 2022,08:41:23 ET,Oil and gas annual disclosure filing (Form 51-101 F1),PDF,4 K
Brookfield Business Partners L.P.,Apr 25 2022,08:41:23 ET,Oil and gas annual disclosure filing (Form 51-101 F1),PDF,5 K
Brookfield Business Partners L.P.,Apr 25 2022,08:41:23 ET,Oil and gas annual disclosure filing (Form 51-101 F3),PDF,7 K
Brookfield Business Partners L.P.,Apr 25 2022,08:41:23 ET,Oil and gas annual disclosure filing (Form 51-101 F3),PDF,8 K
Brookfield Business Partners L.P.,Apr 25 2022,08:41:13 ET,MD&A - English,PDF,404 K
Brookfield Business Partners L.P.,Apr 25 2022,08:40:53 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,60 K
Brookfield Business Partners L.P.,Apr 25 2022,08:40:53 ET,Audited annual financial statements - English,PDF,1129 K
Brookfield Business Partners L.P.,Apr 25 2022,08:40:53 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,28 K
Brookfield Business Partners L.P.,Apr 25 2022,08:39:45 ET,Annual report on Form 20-F - English,PDF,2365 K
Brookfield Business Partners L.P.,Apr 25 2022,08:39:45 ET,Cover letter,PDF,9 K
Brookfield Business Partners L.P.,Apr 25 2022,08:39:45 ET,Other,PDF,45 K
Brookfield Business Partners L.P.,Apr 25 2022,08:39:45 ET,Other,PDF,51 K
Brookfield Business Partners L.P.,Apr 25 2022,08:39:45 ET,Other,PDF,114 K
Brookfield Infrastructure Partners L.P.,Apr 25 2022,13:23:09 ET,Documents affecting rights of securityholders - Trust indentures re debt,PDF,353 K
Brookfield Infrastructure Partners L.P.,Apr 25 2022,13:23:09 ET,Documents affecting rights of securityholders - Trust indentures re debt,PDF,355 K
Brookfield Infrastructure Partners L.P.,Apr 25 2022,13:23:09 ET,Other material contracts - English,PDF,210 K
Brookfield Infrastructure Partners L.P.,Apr 25 2022,13:23:09 ET,Other material contracts - English,PDF,208 K
BRS Resources Ltd.,Apr 25 2022,22:02:08 ET,News release - English,PDF,129 K
Buscando Resources Corp,Apr 25 2022,17:34:29 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,193 K
Buscando Resources Corp,Apr 25 2022,17:34:29 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,187 K
Buscando Resources Corp,Apr 25 2022,17:32:48 ET,MD&A - English,PDF,403 K
Buscando Resources Corp,Apr 25 2022,17:30:59 ET,AB Form 13-501F2 (Class 2 Reporting Issuers - Participation Fee),PDF,25 K
Buscando Resources Corp,Apr 25 2022,17:30:59 ET,Audited annual financial statements - English,PDF,1761 K
Buscando Resources Corp,Apr 25 2022,17:30:59 ET,ON Form 13-502F2 (Class 2 Reporting Issuers - Participation Fee),PDF,373 K
"BYT Holdings Ltd. (formerly, SLE Synergy Ltd.)",Apr 25 2022,19:31:20 ET,News release - English,PDF,487 K
"BYT Holdings Ltd. (formerly, SLE Synergy Ltd.)",Apr 25 2022,17:41:23 ET,Letter from former auditor,PDF,214 K
"BYT Holdings Ltd. (formerly, SLE Synergy Ltd.)",Apr 25 2022,17:41:23 ET,Notice,PDF,317 K
Cabral Gold Inc.,Apr 25 2022,09:01:44 ET,Notice of the meeting and record date - English,PDF,312 K
Canada Jetlines Operations Ltd.,Apr 25 2022,11:46:01 ET,News release - English,PDF,451 K
Canada Silver Cobalt Works Inc.,Apr 25 2022,15:02:45 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,545 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:05:53 ET,Marketing materials - English,PDF,122 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:05:53 ET,Marketing materials - French,PDF,129 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:05:53 ET,Pricing supplement (specified derivative) - English,PDF,194 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:05:53 ET,Pricing supplement (specified derivative) - French,PDF,176 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:02:34 ET,Marketing materials - English,PDF,132 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:02:34 ET,Marketing materials - French,PDF,139 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:02:34 ET,Pricing supplement (specified derivative) - English,PDF,206 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:02:34 ET,Pricing supplement (specified derivative) - French,PDF,211 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:00:03 ET,Marketing materials - English,PDF,157 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:00:03 ET,Marketing materials - French,PDF,162 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:00:03 ET,Pricing supplement (specified derivative) - English,PDF,209 K
Canadian Imperial Bank of Commerce,Apr 25 2022,11:00:03 ET,Pricing supplement (specified derivative) - French,PDF,211 K
Canadian Imperial Bank of Commerce,Apr 25 2022,10:57:29 ET,Marketing materials - English,PDF,125 K
Canadian Imperial Bank of Commerce,Apr 25 2022,10:57:29 ET,Marketing materials - French,PDF,132 K
Canadian Imperial Bank of Commerce,Apr 25 2022,10:57:29 ET,Pricing supplement (specified derivative) - English,PDF,196 K
Canadian Imperial Bank of Commerce,Apr 25 2022,10:57:29 ET,Pricing supplement (specified derivative) - French,PDF,176 K
Canadian North Resources Inc.,Apr 25 2022,07:24:37 ET,News release - English,PDF,205 K
Canadian Premium Sand Inc.,Apr 25 2022,18:05:59 ET,News release - English,PDF,19 K
Carbon Streaming Corporation,Apr 25 2022,07:18:02 ET,News release - English,PDF,91 K
CareRx Corporation (formerly Centric Health Corporation),Apr 25 2022,07:09:57 ET,News release - English,PDF,25 K
"CareSpan Health, Inc. (formerly, Dynamo Capital Corp.)",Apr 25 2022,21:41:52 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,494 K
"CareSpan Health, Inc. (formerly, Dynamo Capital Corp.)",Apr 25 2022,10:02:25 ET,News release - English,PDF,408 K
Carrie Arran Resources Inc.,Apr 25 2022,15:45:24 ET,Other securityholders documents - English,PDF,809 K
Carrie Arran Resources Inc.,Apr 25 2022,15:42:23 ET,Material change report - English,PDF,101 K
Carrie Arran Resources Inc.,Apr 25 2022,15:41:43 ET,News release - English,PDF,69 K
Casa Minerals Inc.,Apr 25 2022,18:48:03 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,185 K
Casa Minerals Inc.,Apr 25 2022,18:48:03 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,186 K
Casa Minerals Inc.,Apr 25 2022,18:46:38 ET,MD&A - English,PDF,261 K
Casa Minerals Inc.,Apr 25 2022,18:45:03 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,1076 K
Casa Minerals Inc.,Apr 25 2022,18:45:03 ET,Audited annual financial statements - English,PDF,323 K
Cathedral Energy Services Ltd.,Apr 25 2022,09:07:46 ET,News release - English,PDF,32 K
CAVU Mining Corp.,Apr 25 2022,08:36:05 ET,News release - English,PDF,307 K
Cedar Peaks Mortgage Investments Inc.,Apr 25 2022,14:18:00 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,2552 K
Centaurus Energy Inc. (formerly Madalena Energy Inc.),Apr 25 2022,17:20:24 ET,News release - English,PDF,36 K
CENTR Brands Corp.,Apr 25 2022,11:16:28 ET,News release - English,PDF,38 K
Chalice Mining Limited,Apr 25 2022,21:22:32 ET,Interim financial statements/report - English,PDF,2548 K
"Charlotte's Web Holdings, Inc. (formerly Stanley Brothers Holdings Inc.)",Apr 25 2022,17:41:49 ET,News release - English,PDF,281 K
Class 1 Nickel and Technologies Limited,Apr 25 2022,10:13:33 ET,Notice of the meeting and record date (amended) - English,PDF,80 K
Cloud DX Inc. (formerly Roosevelt Capital Group Inc.),Apr 25 2022,18:05:22 ET,Report of exempt distribution excluding Schedule 1 of 45-106F1,PDF,861 K
Cloud DX Inc. (formerly Roosevelt Capital Group Inc.),Apr 25 2022,11:22:32 ET,News release - English,PDF,119 K
CO2 GRO Inc.,Apr 25 2022,21:01:02 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,465 K
CO2 GRO Inc.,Apr 25 2022,21:01:02 ET,Audited annual financial statements - English,PDF,366 K
CO2 GRO Inc.,Apr 25 2022,21:01:02 ET,ON Form 13-502F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,509 K
CO2 GRO Inc.,Apr 25 2022,20:58:55 ET,52-109FV1 - Certification of annual filings - CEO (E),PDF,99 K
CO2 GRO Inc.,Apr 25 2022,20:58:55 ET,52-109FV1 - Certification of annual filings - CFO (E),PDF,100 K
CO2 GRO Inc.,Apr 25 2022,20:57:57 ET,MD&A - English,PDF,335 K
Colabor Group Inc.,Apr 25 2022,16:37:59 ET,News release - English,PDF,246 K
Colabor Group Inc.,Apr 25 2022,16:37:59 ET,News release - French,PDF,246 K
COLLIERS INTERNATIONAL GROUP INC.,Apr 25 2022,13:07:10 ET,News release - English,PDF,132 K
Columbia Care Inc. (formerly known as Canaccord Genuity Growth Corp.),Apr 25 2022,10:54:50 ET,Other,PDF,63 K
Columbia Care Inc. (formerly known as Canaccord Genuity Growth Corp.),Apr 25 2022,10:50:23 ET,Other,PDF,35 K
Compass Venture Inc.,Apr 25 2022,16:16:06 ET,News release - English,PDF,122 K
CordovaCann Corp. (formerly LiveReel Media Corporation),Apr 25 2022,19:20:09 ET,Material change report - English,PDF,193 K
Cordy Oilfield Services Inc.,Apr 25 2022,19:53:50 ET,News release - English,PDF,166 K
Core Assets Corp.,Apr 25 2022,12:32:20 ET,News release - English,PDF,1474 K
Core One Labs Inc.,Apr 25 2022,16:48:22 ET,News release - English,PDF,96 K
Cornish Metals Inc.,Apr 25 2022,17:15:10 ET,News release - English,PDF,180 K
Cosa Resources Corp.,Apr 25 2022,16:08:06 ET,News release - English,PDF,153 K
CoTec Holdings Corp.,Apr 25 2022,21:07:36 ET,AB Form 13-501F1 (Class 1 and 3B Reporting Issuers - Participation Fee),PDF,717 K
